70, Female, Meghalaya, 6857177368, 160.65 cm, 65.18 kg
61, Female, Arunachal Pradesh, 7545568576, 154.03 cm, 72.59 kg
60, Male, Uttar Pradesh, 8323418111, 163.81 cm, 69.81 kg
28, Male, Chhattisgarh, 6347181462, 163.36 cm, 71.67 kg
72, Female, Nagaland, 7741573464, 155.35 cm, 75.9 kg
75, Female, Tripura, 9632242348, 153.42 cm, 70.58 kg
68, Male, Tamil Nadu, 9466851675, 160.59 cm, 74.51 kg
87, Female, Odisha, 9684615728, 157.05 cm, 64.62 kg
12, Male, Bihar, 6345336111, 163.46 cm, 69.35 kg
67, Female, Odisha, 8362221888, 164.99 cm, 69.86 kg
16, Male, Haryana, 8737242672, 173.06 cm, 71.5 kg
72, Male, Bihar, 7346858183, 167.6 cm, 69.8 kg
33, Male, Rajasthan, 9673852422, 159.72 cm, 69.85 kg
64, Female, Tripura, 6384854145, 179.2 cm, 70.49 kg
48, Female, Chhattisgarh, 8857232851, 159.54 cm, 72.55 kg
20, Male, Tamil Nadu, 6871477577, 150.92 cm, 80.04 kg
71, Female, Uttarakhand, 9251682624, 176.35 cm, 71.33 kg
33, Male, Assam, 6733725657, 169.95 cm, 76.71 kg
34, Female, Madhya Pradesh, 7282242724, 156.47 cm, 70.11 kg
23, Female, Tripura, 9567118782, 153.83 cm, 57.21 kg
23, Female, Rajasthan, 6127683186, 147.77 cm, 69.79 kg
76, Female, Sikkim, 8317822823, 154.18 cm, 71.73 kg
63, Male, Sikkim, 8175148825, 155.96 cm, 68.71 kg
91, Female, Gujarat, 7575813532, 144.49 cm, 76.28 kg
66, Male, Rajasthan, 9787665885, 153.39 cm, 66.15 kg
11, Male, Telangana, 6538114541, 150.6 cm, 71.61 kg
17, Male, Punjab, 9351716184, 176.92 cm, 78.45 kg
92, Male, Assam, 9464641816, 143.19 cm, 75.08 kg
86, Male, Chhattisgarh, 9287164616, 157.3 cm, 75.23 kg
27, Male, Andhra Pradesh, 7624272282, 157.48 cm, 70.77 kg
92, Female, Haryana, 6422735467, 160.56 cm, 75.84 kg
21, Female, Uttar Pradesh, 7334567664, 154.79 cm, 66.62 kg
30, Female, Telangana, 9725684752, 155.01 cm, 60.62 kg
46, Female, Tripura, 9184685723, 162.88 cm, 66.96 kg
3, Female, Haryana, 7648763587, 147.42 cm, 71.28 kg
74, Female, Kerala, 6543416735, 157.21 cm, 71.96 kg
95, Female, Assam, 8741273854, 160.85 cm, 62.97 kg
32, Male, Karnataka, 8823867447, 177.4 cm, 72.57 kg
43, Male, Tamil Nadu, 6747188455, 177.02 cm, 72.75 kg
69, Male, Telangana, 9857661825, 164.75 cm, 71.43 kg
69, Female, Manipur, 7888544867, 166.67 cm, 70.11 kg
16, Female, Odisha, 7874376634, 165.08 cm, 71.31 kg
41, Male, Manipur, 7665223372, 168.25 cm, 69.73 kg
34, Male, Bihar, 6787342578, 146.56 cm, 74.61 kg
50, Male, Tripura, 7661656888, 160.26 cm, 77.21 kg
91, Male, Chhattisgarh, 6872623141, 140.74 cm, 73.19 kg
35, Male, Kerala, 9651548815, 157.97 cm, 64.76 kg
75, Male, Meghalaya, 6618386635, 147.61 cm, 77.49 kg
77, Female, Punjab, 6761274451, 158.53 cm, 69.37 kg
77, Male, Himachal Pradesh, 9143573214, 160.89 cm, 72.15 kg
85, Female, Jharkhand, 9756288718, 158.09 cm, 70.91 kg
83, Male, Punjab, 7264662717, 153.24 cm, 77.48 kg
23, Male, Mizoram, 7384468561, 149.36 cm, 66.12 kg
44, Male, Haryana, 7347424651, 171.7 cm, 65.13 kg
91, Male, Meghalaya, 8251833331, 157.57 cm, 70.13 kg
64, Female, West Bengal, 6551181118, 163.87 cm, 76.15 kg
44, Male, Goa, 7258753763, 157.22 cm, 74.59 kg
95, Male, Andhra Pradesh, 9873445542, 166.93 cm, 79.79 kg
99, Female, Himachal Pradesh, 7387165381, 159.98 cm, 73.53 kg
6, Female, Punjab, 7825826831, 155.05 cm, 65.6 kg
57, Male, Uttarakhand, 8251876184, 149.05 cm, 68.91 kg
26, Female, Haryana, 9738532455, 173.7 cm, 54.08 kg
79, Male, Gujarat, 6441358871, 143.9 cm, 71.78 kg
53, Male, Uttar Pradesh, 8588528247, 140.92 cm, 64.68 kg
21, Male, Himachal Pradesh, 7686647788, 151.22 cm, 68.36 kg
74, Female, Madhya Pradesh, 8643141537, 162.12 cm, 61.95 kg
47, Male, Jharkhand, 9156584826, 166.36 cm, 66.39 kg
31, Female, Himachal Pradesh, 8427718345, 163.47 cm, 81.7 kg
23, Female, Karnataka, 9814628314, 164.53 cm, 78.65 kg
16, Male, Andhra Pradesh, 9341742588, 159.28 cm, 65.37 kg
5, Female, Odisha, 9381425146, 159.22 cm, 65.81 kg
93, Female, Odisha, 8725552155, 168.09 cm, 67.18 kg
13, Female, Punjab, 8518771686, 152.77 cm, 65.66 kg
39, Female, Uttar Pradesh, 6818833635, 176.11 cm, 75.05 kg
2, Female, Arunachal Pradesh, 9231687844, 165.3 cm, 64.17 kg
43, Female, Madhya Pradesh, 7344511476, 146.53 cm, 67.99 kg
91, Male, Bihar, 8787155434, 146.18 cm, 70.77 kg
44, Female, Madhya Pradesh, 7567836636, 153.44 cm, 72.67 kg
71, Female, Tripura, 6684885672, 160.6 cm, 62.03 kg
91, Female, Goa, 6177325866, 162.42 cm, 81.27 kg
88, Female, Uttar Pradesh, 9514241257, 174.65 cm, 69.67 kg
78, Male, Tamil Nadu, 7437838518, 168.95 cm, 70.56 kg
52, Male, Goa, 9871665163, 170.87 cm, 80.64 kg
27, Male, Uttar Pradesh, 7276311164, 148.44 cm, 62.26 kg
59, Male, Sikkim, 7638763711, 148.74 cm, 71.96 kg
67, Female, West Bengal, 7818357482, 179.19 cm, 73.73 kg
80, Female, Manipur, 9447351437, 170.44 cm, 67.65 kg
39, Male, Andhra Pradesh, 8441178724, 164.74 cm, 80.41 kg
10, Male, Meghalaya, 7654642811, 161.41 cm, 65.72 kg
71, Male, Assam, 7476336152, 166.1 cm, 70.6 kg
80, Female, Uttar Pradesh, 6558153735, 154.15 cm, 71.94 kg
88, Male, Assam, 6757376368, 159.12 cm, 63.92 kg
91, Female, Mizoram, 8681723575, 155.29 cm, 64.98 kg
11, Male, Telangana, 8111718626, 172.02 cm, 74.05 kg
92, Female, Tamil Nadu, 9371712283, 156.32 cm, 70.44 kg
93, Male, Madhya Pradesh, 8833731532, 171.67 cm, 67.94 kg
40, Female, Odisha, 8514577152, 183.48 cm, 70.6 kg
13, Female, Manipur, 8122783365, 165.26 cm, 64.24 kg
23, Female, Nagaland, 8846616164, 168.0 cm, 71.26 kg
25, Female, Odisha, 8447821271, 156.7 cm, 67.2 kg
1, Male, Assam, 7551536272, 154.77 cm, 76.66 kg
69, Male, Mizoram, 6838843657, 178.63 cm, 67.22 kg
18, Male, Telangana, 6563357834, 150.26 cm, 67.1 kg
46, Male, Odisha, 8152827745, 164.29 cm, 60.24 kg
26, Female, Gujarat, 9182222213, 164.48 cm, 71.27 kg
35, Female, Telangana, 9887732783, 144.35 cm, 66.76 kg
97, Female, Assam, 9787223726, 151.2 cm, 69.47 kg
79, Male, Haryana, 9568821682, 162.66 cm, 69.72 kg
7, Male, Gujarat, 7576467556, 175.35 cm, 76.87 kg
82, Female, Karnataka, 9261824483, 155.79 cm, 72.88 kg
18, Female, Uttarakhand, 6546815741, 159.85 cm, 69.9 kg
3, Female, Kerala, 7533242236, 152.41 cm, 71.03 kg
80, Male, Tamil Nadu, 7116418283, 157.92 cm, 55.95 kg
34, Female, Mizoram, 6288572134, 155.96 cm, 68.4 kg
78, Female, Karnataka, 7366321271, 162.35 cm, 69.54 kg
8, Female, Andhra Pradesh, 7428642316, 159.36 cm, 70.36 kg
94, Male, Himachal Pradesh, 9637833141, 165.09 cm, 73.42 kg
2, Female, Meghalaya, 6551127314, 165.37 cm, 66.16 kg
65, Female, Uttarakhand, 8872387585, 151.46 cm, 73.3 kg
51, Female, Karnataka, 8334325628, 171.41 cm, 70.24 kg
43, Female, Uttar Pradesh, 6617712473, 155.0 cm, 76.41 kg
81, Female, Odisha, 8144483464, 132.46 cm, 67.48 kg
7, Male, Bihar, 8477684614, 150.14 cm, 74.82 kg
10, Male, Meghalaya, 7647413512, 133.33 cm, 68.03 kg
85, Male, Jharkhand, 7575453463, 158.84 cm, 68.61 kg
79, Male, Bihar, 8436418333, 169.51 cm, 71.35 kg
89, Female, Karnataka, 8768766412, 155.85 cm, 73.5 kg
31, Male, Meghalaya, 7146284644, 144.8 cm, 64.97 kg
88, Male, Telangana, 6788856644, 158.48 cm, 73.12 kg
59, Male, Goa, 9838618877, 171.23 cm, 65.72 kg
66, Female, Nagaland, 9114526277, 145.59 cm, 70.85 kg
22, Female, Sikkim, 7584252331, 156.91 cm, 63.93 kg
9, Male, Haryana, 7565472436, 153.59 cm, 70.94 kg
82, Female, Bihar, 6758733618, 151.16 cm, 65.3 kg
46, Female, Nagaland, 7131687675, 141.8 cm, 71.05 kg
84, Male, Gujarat, 6376685646, 173.83 cm, 75.22 kg
63, Female, Andhra Pradesh, 6311421747, 161.76 cm, 71.49 kg
34, Female, Sikkim, 7653518856, 159.43 cm, 72.62 kg
75, Female, Manipur, 9817154536, 168.63 cm, 66.94 kg
90, Male, Nagaland, 9812141334, 161.91 cm, 64.96 kg
81, Male, Bihar, 7433361555, 161.86 cm, 73.46 kg
1, Female, Madhya Pradesh, 9867818247, 156.05 cm, 75.26 kg
39, Male, Maharashtra, 8317548413, 144.45 cm, 67.75 kg
39, Female, Meghalaya, 9337578188, 146.19 cm, 68.4 kg
81, Female, Kerala, 9433134552, 143.51 cm, 70.14 kg
40, Male, Andhra Pradesh, 6181362585, 135.38 cm, 69.81 kg
58, Female, Mizoram, 6373727722, 138.11 cm, 76.16 kg
85, Male, Andhra Pradesh, 8225572524, 175.2 cm, 73.97 kg
7, Male, Odisha, 7268156632, 169.93 cm, 62.94 kg
94, Female, Telangana, 8661457635, 162.21 cm, 78.52 kg
83, Male, Kerala, 9553686278, 169.7 cm, 71.6 kg
93, Female, Jharkhand, 8824381287, 158.26 cm, 76.48 kg
8, Male, Odisha, 8126173751, 158.54 cm, 65.88 kg
85, Female, Meghalaya, 8337438222, 166.42 cm, 80.46 kg
88, Female, Assam, 6836782824, 158.91 cm, 69.87 kg
46, Female, Rajasthan, 7235175311, 166.92 cm, 76.07 kg
87, Male, Karnataka, 6776747245, 147.3 cm, 67.87 kg
24, Female, Manipur, 7618742774, 148.77 cm, 73.17 kg
28, Female, Goa, 8245472284, 141.91 cm, 73.29 kg
77, Male, Uttar Pradesh, 9771133525, 167.11 cm, 75.75 kg
2, Female, Andhra Pradesh, 9233436653, 150.24 cm, 74.19 kg
8, Male, Goa, 8612815743, 161.08 cm, 64.07 kg
80, Male, West Bengal, 7553145214, 153.29 cm, 69.86 kg
73, Male, Bihar, 9436745681, 158.85 cm, 73.96 kg
37, Female, Karnataka, 7637767688, 164.17 cm, 78.87 kg
78, Female, Kerala, 9537473318, 149.94 cm, 64.09 kg
12, Male, Chhattisgarh, 7523582187, 171.73 cm, 64.66 kg
57, Male, Chhattisgarh, 7275427411, 159.85 cm, 63.18 kg
37, Female, Haryana, 7612848433, 152.6 cm, 72.25 kg
2, Female, Rajasthan, 7856864164, 168.62 cm, 75.63 kg
19, Female, Andhra Pradesh, 7855365618, 145.69 cm, 77.78 kg
76, Male, Punjab, 6142121313, 139.04 cm, 61.55 kg
35, Male, Nagaland, 8176422454, 174.47 cm, 70.84 kg
96, Male, Sikkim, 9725827645, 173.94 cm, 85.14 kg
25, Male, Rajasthan, 6338311525, 164.1 cm, 74.37 kg
49, Female, Tripura, 6421416321, 165.55 cm, 65.97 kg
3, Male, West Bengal, 7457474581, 166.16 cm, 71.16 kg
40, Male, Jharkhand, 8885583763, 149.81 cm, 72.95 kg
31, Female, Tamil Nadu, 9577215573, 161.22 cm, 71.4 kg
56, Male, West Bengal, 9847843118, 166.22 cm, 69.75 kg
36, Female, Haryana, 9122454852, 143.05 cm, 75.94 kg
22, Male, Uttar Pradesh, 9228651651, 151.3 cm, 63.72 kg
65, Male, Arunachal Pradesh, 9828225573, 167.56 cm, 69.92 kg
61, Male, Punjab, 8365314673, 161.22 cm, 72.27 kg
99, Female, Haryana, 9288358777, 150.02 cm, 67.36 kg
3, Female, Gujarat, 9876768881, 157.16 cm, 70.25 kg
93, Female, Tripura, 8278572542, 147.15 cm, 64.75 kg
26, Female, Madhya Pradesh, 8536447722, 148.24 cm, 66.52 kg
6, Female, Kerala, 6143738655, 152.53 cm, 63.3 kg
83, Male, Manipur, 6567778186, 149.19 cm, 71.95 kg
22, Male, Tripura, 6511565614, 154.6 cm, 60.57 kg
11, Female, Himachal Pradesh, 6625567124, 173.74 cm, 67.32 kg
12, Female, Uttarakhand, 6686142855, 159.93 cm, 78.26 kg
35, Female, Telangana, 8733344346, 148.13 cm, 70.08 kg
20, Female, Sikkim, 9581454386, 178.97 cm, 61.6 kg
52, Female, Gujarat, 7161735511, 153.51 cm, 69.36 kg
69, Female, Manipur, 6751582617, 170.55 cm, 76.65 kg
38, Male, Karnataka, 9745545548, 161.45 cm, 70.7 kg
48, Male, Andhra Pradesh, 6386581425, 152.62 cm, 65.21 kg
85, Female, Manipur, 9144444841, 153.81 cm, 63.04 kg
65, Male, Chhattisgarh, 7124438727, 150.85 cm, 78.82 kg
20, Male, Rajasthan, 8712476214, 147.04 cm, 70.43 kg
7, Female, Tripura, 6464446777, 171.37 cm, 76.27 kg
93, Female, Tripura, 8116524323, 161.76 cm, 67.67 kg
33, Female, Rajasthan, 7245228686, 173.53 cm, 82.21 kg
55, Female, Odisha, 7717713164, 181.96 cm, 74.15 kg
41, Male, Meghalaya, 6483316446, 174.76 cm, 67.87 kg
45, Male, Assam, 9757524421, 168.23 cm, 76.0 kg
81, Male, Nagaland, 6148141681, 164.11 cm, 70.03 kg
64, Male, Arunachal Pradesh, 6712716245, 164.19 cm, 67.44 kg
44, Male, Jharkhand, 6646153415, 167.61 cm, 76.27 kg
6, Male, Meghalaya, 6252486423, 158.14 cm, 63.89 kg
90, Male, Andhra Pradesh, 7754634187, 173.34 cm, 67.2 kg
74, Male, Haryana, 6725462123, 166.54 cm, 71.86 kg
35, Male, Andhra Pradesh, 8567786621, 158.96 cm, 76.46 kg
63, Female, Odisha, 8828478876, 170.42 cm, 75.28 kg
48, Female, Haryana, 7567513354, 169.53 cm, 62.37 kg
15, Female, Karnataka, 7426571511, 154.05 cm, 69.72 kg
35, Female, Rajasthan, 8265264773, 170.98 cm, 66.12 kg
50, Male, Goa, 7326858675, 159.49 cm, 78.01 kg
7, Male, Rajasthan, 9477586547, 155.36 cm, 73.94 kg
75, Male, Tamil Nadu, 7456255444, 178.97 cm, 69.07 kg
68, Female, Tamil Nadu, 9685743234, 172.6 cm, 70.68 kg
74, Female, Odisha, 9146621254, 154.72 cm, 65.41 kg
5, Female, Uttarakhand, 6563548847, 179.95 cm, 67.62 kg
22, Male, Madhya Pradesh, 8371874476, 160.44 cm, 68.82 kg
74, Male, Manipur, 8752732523, 149.54 cm, 56.74 kg
46, Female, Assam, 6381123825, 159.29 cm, 68.88 kg
36, Male, Uttarakhand, 9662642331, 144.18 cm, 62.85 kg
51, Female, Odisha, 7382331216, 162.65 cm, 66.64 kg
63, Female, Odisha, 9712634254, 151.36 cm, 68.83 kg
14, Male, Arunachal Pradesh, 6153481747, 160.81 cm, 76.81 kg
89, Female, Haryana, 9431182167, 163.55 cm, 65.64 kg
47, Male, Haryana, 7361241165, 157.24 cm, 73.71 kg
61, Female, Karnataka, 9357222822, 162.92 cm, 71.28 kg
6, Female, Telangana, 8351344846, 166.01 cm, 68.94 kg
37, Female, Mizoram, 9286383186, 172.94 cm, 76.14 kg
6, Male, West Bengal, 7648838187, 159.06 cm, 75.54 kg
32, Female, Assam, 6747475287, 160.96 cm, 65.49 kg
71, Female, Bihar, 8132264236, 160.38 cm, 69.21 kg
91, Male, Andhra Pradesh, 9548678624, 165.63 cm, 67.64 kg
52, Male, Tamil Nadu, 6234387636, 181.85 cm, 70.55 kg
71, Female, Karnataka, 8574553424, 144.56 cm, 63.5 kg
47, Female, Kerala, 8864261411, 145.95 cm, 77.35 kg
46, Female, Himachal Pradesh, 8148151231, 169.62 cm, 69.76 kg
20, Male, Punjab, 7248864778, 152.41 cm, 69.85 kg
28, Male, Rajasthan, 8431752228, 181.07 cm, 78.52 kg
28, Male, West Bengal, 6812647513, 155.95 cm, 76.13 kg
1, Male, Assam, 6883277141, 162.8 cm, 63.6 kg
76, Male, Maharashtra, 6531514441, 170.46 cm, 65.49 kg
85, Female, Mizoram, 9561524787, 167.33 cm, 67.44 kg
57, Female, Punjab, 6645738837, 171.74 cm, 69.46 kg
13, Male, Odisha, 6733337726, 151.84 cm, 72.86 kg
82, Female, Manipur, 7834858826, 174.45 cm, 69.77 kg
5, Female, Jharkhand, 7246475627, 152.14 cm, 65.64 kg
5, Female, Haryana, 8487257361, 164.43 cm, 64.01 kg
45, Female, Tripura, 7657382656, 151.03 cm, 63.43 kg
74, Male, Assam, 7871566257, 160.92 cm, 68.6 kg
90, Female, Madhya Pradesh, 7733471466, 156.41 cm, 73.19 kg
45, Male, Meghalaya, 8542167844, 174.45 cm, 70.94 kg
86, Female, Karnataka, 6315165638, 178.11 cm, 72.04 kg
38, Male, Maharashtra, 7444763687, 158.71 cm, 68.71 kg
18, Female, Himachal Pradesh, 9662274783, 173.78 cm, 79.56 kg
89, Male, Tripura, 9487788762, 172.49 cm, 72.32 kg
60, Male, Punjab, 6458878586, 153.23 cm, 72.03 kg
5, Male, Mizoram, 9545275337, 159.86 cm, 83.93 kg
71, Female, Mizoram, 6223532534, 145.07 cm, 71.57 kg
58, Male, Manipur, 6426438672, 156.23 cm, 71.04 kg
40, Male, Nagaland, 9486725615, 152.0 cm, 66.4 kg
55, Female, Uttar Pradesh, 7878245254, 177.44 cm, 71.31 kg
51, Male, Arunachal Pradesh, 8717474212, 153.94 cm, 72.22 kg
87, Male, Odisha, 8576163734, 164.58 cm, 66.56 kg
33, Female, Andhra Pradesh, 6731558868, 148.77 cm, 66.28 kg
14, Female, Maharashtra, 7834834651, 152.83 cm, 67.16 kg
19, Female, Uttar Pradesh, 8277858444, 164.03 cm, 62.12 kg
78, Male, Punjab, 9255118272, 161.9 cm, 78.7 kg
25, Female, Rajasthan, 7181547873, 166.72 cm, 58.77 kg
30, Female, Telangana, 7376846658, 160.42 cm, 79.29 kg
37, Female, Kerala, 9746377618, 156.66 cm, 62.31 kg
29, Female, Telangana, 8862218376, 172.88 cm, 74.06 kg
8, Male, Andhra Pradesh, 6685682451, 169.35 cm, 69.71 kg
38, Female, Haryana, 7432731622, 170.96 cm, 67.42 kg
59, Female, Bihar, 7762422653, 138.32 cm, 69.45 kg
39, Male, Tripura, 7716768813, 176.49 cm, 70.95 kg
96, Female, Telangana, 8576438832, 171.44 cm, 76.4 kg
50, Female, Andhra Pradesh, 8128363878, 154.03 cm, 66.98 kg
98, Female, West Bengal, 6714614373, 180.47 cm, 70.24 kg
24, Female, Haryana, 7424156465, 160.1 cm, 69.6 kg
49, Female, Jharkhand, 8848864137, 163.6 cm, 76.14 kg
16, Female, Uttar Pradesh, 6112782513, 164.22 cm, 65.35 kg
28, Female, Punjab, 8278515337, 158.06 cm, 65.41 kg
76, Female, Bihar, 8378114328, 179.48 cm, 75.62 kg
41, Female, Manipur, 9455545216, 154.6 cm, 66.95 kg
8, Male, West Bengal, 8656444785, 152.07 cm, 77.67 kg
74, Female, West Bengal, 6865652484, 160.23 cm, 63.8 kg
13, Female, Manipur, 8885874146, 140.41 cm, 68.83 kg
12, Female, Gujarat, 9756631324, 153.24 cm, 71.83 kg
98, Female, Arunachal Pradesh, 8355344872, 156.88 cm, 65.88 kg
59, Male, Manipur, 7278886138, 184.3 cm, 71.32 kg
19, Male, Mizoram, 8687234453, 157.86 cm, 61.58 kg
61, Male, Kerala, 9414553315, 165.82 cm, 64.92 kg
38, Female, Arunachal Pradesh, 7522231778, 168.77 cm, 60.02 kg
97, Female, Himachal Pradesh, 8783145282, 152.83 cm, 66.15 kg
43, Male, Sikkim, 9844211482, 155.53 cm, 69.9 kg
7, Male, West Bengal, 9148617532, 152.47 cm, 68.17 kg
42, Male, Haryana, 6662652614, 184.01 cm, 63.33 kg
17, Female, Uttar Pradesh, 7681221778, 174.34 cm, 73.01 kg
38, Female, Arunachal Pradesh, 7551727837, 157.59 cm, 76.21 kg
41, Male, Meghalaya, 7576643565, 141.22 cm, 75.62 kg
23, Female, Manipur, 7315156622, 166.57 cm, 67.77 kg
90, Female, Tamil Nadu, 9667844142, 164.56 cm, 66.6 kg
50, Male, Tamil Nadu, 7646815886, 166.61 cm, 72.94 kg
6, Male, Arunachal Pradesh, 9114534425, 169.27 cm, 65.18 kg
24, Male, Bihar, 8846131377, 165.62 cm, 70.5 kg
75, Female, Kerala, 6344226785, 156.47 cm, 68.62 kg
77, Female, Manipur, 6515172835, 155.43 cm, 67.43 kg
62, Male, Assam, 8812528278, 167.07 cm, 66.33 kg
71, Female, Andhra Pradesh, 9471453255, 187.22 cm, 71.93 kg
61, Male, Tripura, 8158252324, 175.81 cm, 65.82 kg
25, Male, Uttarakhand, 6164354514, 158.04 cm, 66.49 kg
19, Female, Nagaland, 6368663826, 143.4 cm, 67.49 kg
13, Male, Arunachal Pradesh, 6184156672, 158.6 cm, 75.74 kg
54, Male, Tripura, 7715313272, 154.49 cm, 69.39 kg
32, Female, West Bengal, 7263161366, 162.85 cm, 72.07 kg
41, Male, Punjab, 7313421442, 178.85 cm, 63.3 kg
77, Male, Arunachal Pradesh, 9681136318, 146.0 cm, 71.63 kg
59, Female, Uttar Pradesh, 6614532162, 168.51 cm, 63.18 kg
5, Female, Telangana, 8548275284, 143.18 cm, 74.22 kg
43, Male, Odisha, 9174678536, 159.93 cm, 75.69 kg
13, Male, Tamil Nadu, 6163715677, 154.19 cm, 66.22 kg
35, Female, Tripura, 8226876875, 161.85 cm, 69.79 kg
24, Female, Madhya Pradesh, 9675121345, 146.13 cm, 70.0 kg
80, Female, Manipur, 9146368432, 160.14 cm, 63.91 kg
11, Female, Uttarakhand, 7776426464, 149.89 cm, 74.61 kg
60, Female, Punjab, 6575327554, 153.43 cm, 72.42 kg
43, Male, Arunachal Pradesh, 9266526764, 172.35 cm, 69.14 kg
28, Female, Goa, 8315155874, 147.79 cm, 77.35 kg
36, Female, Sikkim, 9181821517, 160.63 cm, 79.38 kg
66, Male, Andhra Pradesh, 8616287437, 160.78 cm, 71.64 kg
36, Female, Tripura, 9163357214, 163.28 cm, 62.78 kg
80, Female, Odisha, 9537632534, 144.04 cm, 63.83 kg
64, Male, Andhra Pradesh, 8151333541, 158.54 cm, 67.18 kg
28, Female, Rajasthan, 6263283451, 160.49 cm, 71.79 kg
94, Female, Punjab, 7586125525, 152.26 cm, 69.96 kg
77, Female, Nagaland, 7363483237, 155.16 cm, 68.18 kg
25, Female, Kerala, 8362167126, 157.38 cm, 72.14 kg
57, Male, Andhra Pradesh, 7511818214, 154.08 cm, 67.79 kg
79, Male, Jharkhand, 6474832833, 157.53 cm, 62.52 kg
64, Male, Uttarakhand, 6236157453, 154.81 cm, 68.57 kg
96, Male, Sikkim, 8156618267, 173.97 cm, 75.56 kg
22, Female, Uttarakhand, 6118431672, 170.0 cm, 68.34 kg
6, Female, Punjab, 6113252763, 169.23 cm, 71.36 kg
98, Male, Karnataka, 6564786226, 153.47 cm, 79.8 kg
63, Male, Telangana, 9673348681, 152.03 cm, 60.53 kg
47, Female, West Bengal, 6177174374, 175.57 cm, 70.27 kg
46, Male, Odisha, 6867622474, 176.15 cm, 80.77 kg
42, Male, Punjab, 8312814777, 155.84 cm, 72.0 kg
13, Female, Gujarat, 9445562465, 158.33 cm, 66.89 kg
31, Female, Nagaland, 6754547475, 149.34 cm, 68.58 kg
32, Male, Bihar, 8275584377, 134.74 cm, 68.42 kg
57, Male, Punjab, 9231716856, 147.28 cm, 69.4 kg
46, Female, West Bengal, 8448756561, 150.58 cm, 73.63 kg
66, Male, Arunachal Pradesh, 6722832556, 159.03 cm, 66.85 kg
22, Male, Punjab, 7454141334, 180.32 cm, 71.49 kg
50, Male, Punjab, 7658874866, 168.09 cm, 70.65 kg
21, Male, Karnataka, 7445374568, 150.47 cm, 74.75 kg
19, Female, Punjab, 6563562881, 169.15 cm, 69.85 kg
48, Male, Madhya Pradesh, 7363627132, 151.94 cm, 67.72 kg
42, Female, Himachal Pradesh, 7635167538, 148.84 cm, 64.99 kg
9, Female, Punjab, 6524558487, 145.86 cm, 74.23 kg
19, Female, Uttarakhand, 7421681676, 144.34 cm, 67.86 kg
2, Female, Haryana, 9442863677, 166.51 cm, 66.43 kg
38, Female, Mizoram, 8466854284, 172.54 cm, 67.62 kg
60, Male, Odisha, 8725327558, 145.57 cm, 67.38 kg
4, Female, Maharashtra, 7651436285, 155.57 cm, 68.11 kg
97, Female, Haryana, 8185487657, 161.94 cm, 73.46 kg
84, Male, Jharkhand, 8483885162, 172.8 cm, 72.54 kg
69, Male, Tripura, 6714833364, 165.38 cm, 65.39 kg
5, Male, Tamil Nadu, 6687376375, 184.8 cm, 71.76 kg
20, Male, Mizoram, 6243436688, 158.74 cm, 72.18 kg
51, Male, Goa, 7242144812, 175.93 cm, 85.28 kg
31, Male, Arunachal Pradesh, 6764272454, 150.27 cm, 67.84 kg
75, Female, Andhra Pradesh, 8583823274, 180.38 cm, 64.98 kg
64, Male, Bihar, 8114525375, 162.72 cm, 71.87 kg
20, Female, Tripura, 7825542122, 169.44 cm, 70.29 kg
89, Female, Chhattisgarh, 6862767272, 167.56 cm, 68.22 kg
24, Female, Mizoram, 8525583378, 164.88 cm, 69.52 kg
79, Male, Odisha, 7588335425, 157.58 cm, 74.68 kg
60, Female, Nagaland, 8754235654, 164.88 cm, 71.34 kg
22, Male, Uttar Pradesh, 9767761863, 167.16 cm, 62.5 kg
77, Female, Himachal Pradesh, 9157243536, 161.4 cm, 65.22 kg
10, Male, Assam, 9446725618, 155.72 cm, 62.58 kg
77, Female, Rajasthan, 7431473717, 158.41 cm, 71.26 kg
1, Male, Jharkhand, 9555415783, 157.03 cm, 67.91 kg
36, Female, Jharkhand, 8828654485, 153.75 cm, 69.44 kg
55, Male, Haryana, 9866267286, 149.88 cm, 61.03 kg
76, Female, Sikkim, 7716184444, 164.5 cm, 75.2 kg
25, Female, Rajasthan, 8722847163, 165.01 cm, 60.54 kg
60, Male, Manipur, 9256413477, 157.88 cm, 72.79 kg
13, Female, Assam, 7512378464, 167.88 cm, 68.84 kg
9, Male, Kerala, 7451416375, 170.01 cm, 68.41 kg
41, Male, Assam, 7127556376, 161.66 cm, 82.01 kg
64, Female, Uttar Pradesh, 6471845562, 147.75 cm, 62.66 kg
43, Male, Chhattisgarh, 9324238137, 158.07 cm, 72.13 kg
17, Female, Arunachal Pradesh, 9348266863, 163.15 cm, 56.96 kg
36, Male, Maharashtra, 7447556712, 167.64 cm, 69.42 kg
10, Male, Meghalaya, 6341547216, 173.9 cm, 74.41 kg
56, Female, Uttar Pradesh, 7283665274, 174.41 cm, 75.9 kg
28, Female, Mizoram, 9515367666, 167.44 cm, 79.24 kg
59, Male, Meghalaya, 9833554578, 158.99 cm, 76.17 kg
77, Male, Nagaland, 7853186642, 162.46 cm, 72.12 kg
68, Female, Karnataka, 7375432356, 170.52 cm, 66.04 kg
79, Female, Nagaland, 7816747888, 165.65 cm, 73.42 kg
44, Male, Assam, 7767585836, 163.88 cm, 66.09 kg
64, Female, Maharashtra, 6551434888, 171.19 cm, 66.93 kg
14, Female, Jharkhand, 7288232632, 164.26 cm, 73.7 kg
